,station_id,station_name,raccnt,station_lat,station_lon,ADM_NM,gu
210,ST-177,363. 신설동역 11번출구 뒤,13,37.575592,127.02285,숭인2동,종로구
211,ST-178,364. 창신역 1번출구 앞,8,37.579334,127.015083,창신3동,종로구
212,ST-180,367. 독립문역 3-1번출구 ,13,37.574157,126.958518,무악동,종로구
213,ST-181,368. SK 서린빌딩 앞,15,37.569248,126.980537,종로1·2·3·4가동,종로구
214,ST-185,370. 시청역(2호선) 9번출구 뒤,24,37.563228,126.974838,소공동,중구
215,ST-186,371. 동대입구역 6번출구 뒤,10,37.558872,127.005538,장충동,중구
216,ST-187,372. 약수역 3번출구 뒤,10,37.554294,127.011199,약수동,중구
217,ST-189,374. 청구역 2번출구 앞,12,37.560474,127.014076,동화동,중구
218,ST-194,379. 서울역9번출구,7,37.555999,126.973358,회현동,중구
219,ST-195,380. CJ제일제당 앞,8,37.563865,127.002746,광희동,중구
220,ST-196,381. 장충체육관,15,37.558532,127.006988,장충동,중구
221,ST-197,382. 약수역 10번출구 앞,7,37.555198,127.010047,다산동,중구
222,ST-198,383. 신당역 12번 출구 뒤,22,37.565849,127.016403,신당동,중구
223,ST-199,384. 종로학원본원 ,10,37.55978,126.968505,중림동,중구
224,ST-336,385. 종각역 5번출구,10,37.569835,126.982658,종로1·2·3·4가동,종로구
225,ST-338,387. 훈련원공원주차장 앞,10,37.566993,127.003463,을지로동,중구
226,ST-444,388. 동성중학교 앞,10,37.585735,127.001609,혜화동,종로구
227,ST-943,389. 을지로4가역 1번출구,10,37.56673,126.996604,을지로동,중구
228,ST-944,390. 충무로역 1번출구,12,37.561389,126.995353,필동,중구
229,ST-977,391. 시립미술관,8,37.565052,126.973403,소공동,중구
230,ST-1372,393. 동대문역 8번 출구,12,37.57014,127.009376,종로5·6가동,종로구
231,ST-1373,394. 경희궁 자이 3단지,15,37.567489,126.965919,교남동,종로구
232,ST-1374,395. 경희궁 자이 2단지,8,37.568855,126.964561,교남동,종로구
233,ST-1432,397. 종묘공영주차장 건너편,13,37.57048,126.996635,종로1·2·3·4가동,종로구
234,ST-1435,398. 을지로3가역 3번출구,8,37.566558,126.992439,을지로동,중구
235,ST-1436,399. 서울역 센트럴 자이아파트,15,37.554107,126.965408,중림동,중구
236,ST-110,400. 상암한화오벨리스크 1차 앞,14,37.587524,126.883003,상암동,마포구
237,ST-76,401. 상암월드컵파크 10단지 앞,13,37.586189,126.881614,상암동,마포구
238,ST-77,402. 상암월드컵파크 9단지 앞,20,37.582927,126.879837,상암동,마포구
239,ST-78,403. 부엉이공원 앞,20,37.58559,126.884727,상암동,마포구
240,ST-80,405. DMC빌 앞,8,37.582656,126.885787,상암동,마포구
241,ST-81,406. 상암월드컵파크 7단지 앞,15,37.581111,126.880874,상암동,마포구
242,ST-83,407. 마포구 육아종합지원센터,8,37.580631,126.883674,상암동,마포구
243,ST-84,408. LG CNS앞,14,37.58081,126.88665,상암동,마포구
244,ST-86,409. 누리꿈스퀘어 옆,30,37.579399,126.88916,상암동,마포구
245,ST-88,410. 상암중학교 옆,10,37.577392,126.887474,상암동,마포구
246,ST-90,411. DMC홍보관,10,37.577995,126.891471,상암동,마포구
247,ST-91,412. DMC산학협력연구센터 앞,21,37.575656,126.890792,상암동,마포구
248,ST-92,413. 상암월드컵파크 3단지 후문,10,37.571475,126.889686,상암동,마포구
249,ST-94,414. 상암동주민센터 옆,8,37.57822,126.89447,상암동,마포구
250,ST-95,415. DMC역 9번출구 앞,10,37.577468,126.897361,상암동,마포구
251,ST-96,416. 상암월드컵파크 1단지 교차로,12,37.575664,126.894447,상암동,마포구
252,ST-93,417. DMC역 2번출구 옆,20,37.575069,126.899917,상암동,마포구
253,ST-89,418. 월드컵경기장역 3번출구 옆,20,37.57048,126.898895,성산2동,마포구
